study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
1264.0,Low,0,15,2,15,3,False,False,43.0,False,False,False,False,0,0,True,True,False,True,True,True,False,True,True,True,False,False,True
1884.0,High,1,23,3,0,4,False,False,45.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
943.0,Low,0,5,1,1,1,missing,False,24.0,False,False,False,False,1,0,False,False,False,False,True,False,False,False,True,False,False,False,True
546.0,Low,0,2,2,0,4,False,False,9.0,False,False,False,False,1,0,False,False,False,False,True,False,False,True,False,False,True,False,missing
2298.0,High,1,3,6,1,1,True,False,62.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
3744.0,High,1,16,1,0,1,missing,False,15.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1308.0,Low,0,2,2,2,2,False,False,35.0,False,False,False,False,1,0,True,True,True,False,False,False,False,False,False,False,False,False,missing
1847.0,High,1,10,5,1,2,missing,False,29.0,False,False,False,False,1,0,True,True,False,True,True,False,False,True,False,False,True,False,missing
1199.0,Low,0,7,1,1,3,missing,False,6.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
3011.0,High,1,5,1,1,2,False,False,16.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
2161.0,High,1,2,1,4,2,False,False,14.0,False,False,False,False,1,0,True,True,False,False,True,False,False,True,False,False,True,False,missing
1340.0,Low,0,6,1,3,3,missing,False,39.0,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
3075.0,High,1,0,2,1,2,missing,True,25.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1736.0,Low,0,12,5,7,2,False,False,59.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1280.0,Low,0,1,1,1,3,missing,False,12.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1338.0,Low,0,0,2,3,2,False,False,30.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2707.0,High,1,9,2,1,2,missing,False,34.0,False,False,False,False,1,0,True,True,True,True,True,True,False,True,False,False,True,True,missing
3385.0,High,1,1,2,1,2,False,False,95.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
2219.0,High,1,6,9,11,3,False,False,39.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,True,True,True
4778.0,High,1,10,1,2,10,missing,False,50.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
425.0,Low,0,8,1,1,2,missing,False,16.0,False,False,False,False,0,0,False,False,False,True,True,True,False,True,True,False,True,True,True
2009.0,High,1,9,1,0,3,False,False,149.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1568.0,Low,0,2,2,1,2,False,False,8.0,False,False,False,False,1,0,True,True,True,False,True,False,False,False,False,False,False,False,missing
1691.0,Low,0,2,2,1,2,False,False,5.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1762.0,Low,0,5,1,1,8,False,False,39.0,False,False,False,False,1,0,True,True,False,True,False,False,False,False,False,True,False,False,missing
1371.0,Low,0,6,1,6,1,missing,False,41.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,False,True,True,missing
202.0,Low,0,9,1,2,6,missing,False,3.0,False,False,False,False,1,0,False,False,False,False,False,True,False,True,True,False,True,True,True
915.0,Low,0,15,2,11,2,False,False,61.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,True,False,False,False,True
3348.0,High,1,1,3,1,2,False,False,150.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
1288.0,Low,0,4,3,1,6,True,False,11.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,False,False,False,False,missing
3279.0,High,1,11,2,3,5,False,False,57.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1209.0,Low,0,9,1,1,1,missing,False,4.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1127.0,Low,0,5,3,4,4,False,False,48.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
