protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT02594215,776,2412.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,1,2,1,0,21.0,16.0,1,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4320,14,0.68,11
NCT01637532,943,943.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,3,1,1,1,15.0,8.0,2,0,1.0,0.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,1,0,0,730.0,730.0,4320,14,0.68,11
NCT02154737,2621,2621.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,1,0,17.0,18.0,2,0,0.0,2.0,1.0,['PHASE1'],0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,1,0,1,28.0,730.0,4320,14,0.68,11
NCT04402541,1140,1140.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,1,1,10,2,15.0,36.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,55,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,28.0,1095,730,0.65,4
NCT01589419,944,944.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,6,2,6.0,5.0,3,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,32,False,1,0,0,0,0,0,0,0,0,0,0,0,1,35.0,35.0,4320,14,0.68,11
NCT03949517,1063,1063.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,2,1,1,0,4.0,2.0,4,0,1.0,2.0,1.0,"['PHASE1', 'PHASE2']",1.0,0.0,14,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,1080,360,0.175,2
NCT05395117,74,74.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,1,0,5.0,29.0,4,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,32,True,1,0,0,0,0,0,0,0,0,0,0,0,1,16.0,20.0,4320,14,0.68,11
NCT01808417,294,655.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,2,0,2.0,3.0,1,0,0.0,0.0,1.0,['PHASE1'],0.0,0.0,10,False,0,1,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,4320,14,0.68,11
NCT04914117,351,467.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,3,1,1,4,1,15.0,27.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,7,False,1,0,0,0,0,0,0,0,0,0,0,1,1,540.0,540.0,4320,14,0.68,11
NCT01428141,488,669.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,0,1,8.0,13.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,,4320,14,0.68,11
NCT02639117,338,719.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,0,23.0,24.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,4,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,1440,360,0.99,3
NCT02145741,385,3320.0,"(-0.001, 761.0]","(1594.0, 4453.0]",2,0,1,1,1,1,1,4.0,0.0,3,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,,4320,14,0.68,11
NCT02959619,969,1144.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,1,1,1,1,11.0,17.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,48,False,1,0,0,0,0,0,0,0,0,0,0,0,0,360.0,360.0,49,14,0.99,1
NCT02482441,925,986.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,2,1,7,0,17.0,8.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,50,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,,4320,14,0.68,11
NCT01992341,396,792.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,2,0,4.0,24.0,2,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,35,False,1,0,0,0,0,0,0,0,0,0,0,0,1,63.0,180.0,4320,14,0.68,11
NCT06184841,1217,1261.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,3,1,1,1,1,14.0,12.0,1,0,0.0,0.0,0.0,['PHASE1'],0.0,0.0,25,False,1,0,0,0,0,0,0,0,0,0,1,1,1,730.0,730.0,49,14,0.99,1
