study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
811.0,Low,0,13,1,21,1,missing,False,34,False,False,False,False,1,0,False,True,False,False,True,True,False,True,True,False,True,True,True
3129.0,High,1,16,1,21,1,False,False,213,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
2414.0,High,1,28,2,9,2,False,False,94,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1060.0,Low,0,4,2,2,2,missing,False,20,False,False,False,False,1,0,True,True,False,True,True,False,False,True,False,False,False,False,missing
2071.0,High,1,14,1,14,1,missing,False,143,False,False,False,False,1,0,True,True,False,False,True,False,False,False,True,False,False,False,True
1457.0,High,1,9,1,7,2,False,False,35,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,False,False,missing
1301.0,Low,0,15,1,5,1,True,False,10,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,False,False,True
335.0,Low,0,3,1,0,1,missing,False,21,False,False,False,False,1,0,False,False,False,True,False,True,False,True,True,True,True,True,True
1095.0,Low,0,6,2,1,1,True,False,110,False,False,False,False,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True
344.0,Low,0,2,1,3,1,missing,False,19,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
631.0,Low,0,6,2,1,1,missing,False,22,False,False,False,False,0,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1016.0,Low,0,14,6,12,4,False,False,30,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,False,False,True
750.0,Low,0,6,5,1,1,True,True,45,False,False,False,False,1,0,False,False,False,True,True,False,False,False,False,False,False,False,missing
1341.0,Low,0,1,1,1,1,missing,False,13,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
2091.0,High,1,1,4,11,1,False,False,40,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,True,True,True,missing
1656.0,High,1,5,4,6,1,False,False,109,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,True,True,True
1231.0,Low,0,1,2,0,3,missing,False,36,False,False,False,False,1,0,True,True,False,True,False,False,False,False,True,True,False,False,True
699.0,Low,0,2,1,4,1,False,False,18,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
1208.0,Low,0,4,1,1,1,True,False,40,False,False,False,False,1,0,False,False,False,False,False,True,False,True,False,False,True,True,missing
472.0,Low,0,23,2,1,2,missing,False,6,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1023.0,Low,0,4,1,1,1,True,False,14,False,False,False,False,1,0,True,True,False,False,False,False,False,True,False,False,False,False,missing
603.0,Low,0,5,1,5,2,missing,False,28,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1796.0,High,1,10,1,5,4,missing,False,30,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
41.0,Low,0,25,1,1,1,missing,False,6,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1671.0,High,1,1,1,5,1,missing,False,11,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2048.0,High,1,10,2,22,1,missing,False,258,False,False,False,False,1,0,True,True,False,False,False,True,False,True,True,False,True,True,True
1491.0,High,1,7,2,1,1,False,False,30,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,False,True,True,True
1497.0,High,1,5,2,1,1,False,False,24,False,False,False,False,1,0,False,False,False,True,False,True,False,True,True,True,True,True,True
140.0,Low,0,16,4,2,1,True,False,52,False,False,False,False,0,0,True,True,False,True,True,True,False,True,True,False,True,True,True
1704.0,High,1,2,2,1,1,missing,False,12,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1402.0,High,1,6,1,2,2,missing,False,19,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1674.0,High,1,5,1,1,2,missing,False,18,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1793.0,High,1,21,1,10,1,missing,False,82,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1631.0,High,1,29,2,14,1,False,False,70,False,False,False,False,1,0,False,True,False,False,False,True,False,True,False,False,True,True,missing
1726.0,High,1,5,4,1,5,False,False,55,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,False,False,missing
1062.0,Low,0,14,4,19,1,False,False,36,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,False,True,True,True
1233.0,Low,0,3,1,1,3,missing,False,8,False,False,False,False,0,0,True,True,False,True,True,False,False,False,False,True,False,False,missing
1341.0,Low,0,8,3,1,1,missing,False,26,False,False,False,False,1,0,True,True,False,True,True,False,False,True,True,True,False,False,True
1087.0,Low,0,9,1,4,1,missing,False,29,False,False,False,False,1,0,False,False,False,False,True,True,False,True,False,False,True,True,missing
1765.0,High,1,2,2,9,1,False,False,39,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
1277.0,Low,0,4,2,1,2,missing,False,26,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
841.0,Low,0,7,1,1,1,missing,False,113,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,False,False,False,True
789.0,Low,0,5,1,1,1,missing,False,16,False,False,False,False,1,0,True,True,False,True,True,False,False,False,True,False,False,False,True
957.0,Low,0,6,1,0,3,missing,False,46,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
2466.0,High,1,3,4,1,3,missing,False,50,False,False,False,False,1,0,True,True,False,False,True,False,False,False,True,False,False,False,True
3172.0,High,1,3,2,5,1,missing,False,55,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
52.0,Low,0,12,2,1,1,missing,False,11,False,False,False,False,0,0,False,False,False,True,True,True,False,True,True,False,True,True,True
1510.0,High,1,2,2,1,2,True,False,17,False,False,False,False,1,0,False,False,False,True,False,False,False,True,True,False,False,False,True
1854.0,High,1,4,6,13,10,False,False,210,False,False,False,False,1,0,True,True,False,True,False,False,False,True,True,True,True,False,True
1719.0,High,1,8,1,9,4,False,False,100,False,False,False,False,1,0,True,True,False,False,False,True,False,True,True,False,True,True,True
574.0,Low,0,1,1,1,1,missing,False,17,False,False,False,False,1,0,False,False,False,True,False,True,False,True,False,True,True,True,missing
1980.0,High,1,3,2,9,1,missing,False,20,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1033.0,Low,0,11,1,1,1,missing,False,81,False,False,False,False,1,0,False,False,False,True,True,True,False,True,False,False,True,True,missing
1257.0,Low,0,3,4,1,2,False,False,19,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
881.0,Low,0,8,2,1,1,True,False,20,False,False,False,False,0,0,False,False,False,True,True,False,False,False,True,False,False,False,True
793.0,Low,0,8,1,3,1,missing,False,13,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1043.0,Low,0,8,3,7,1,missing,False,19,False,False,False,False,1,0,False,True,False,False,False,True,False,True,False,False,True,True,missing
2542.0,High,1,6,2,7,1,False,False,56,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,True,True,True
1331.0,Low,0,9,4,12,5,False,False,39,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
1917.0,High,1,1,2,1,1,True,False,66,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,True,False,missing
1611.0,High,1,10,5,5,8,False,False,81,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,False,True,False,True
329.0,Low,0,4,1,1,1,True,False,18,False,False,False,False,1,0,False,False,False,False,False,False,False,True,True,False,False,False,True
1667.0,High,1,6,5,1,3,False,False,28,False,False,False,False,1,0,False,False,False,False,False,True,False,True,False,False,True,True,missing
730.0,Low,0,2,1,1,1,missing,False,15,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
305.0,Low,0,10,1,1,2,False,False,10,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,False,False,True
1124.0,Low,0,4,5,1,2,False,False,8,False,False,False,False,1,0,False,False,False,True,True,True,False,True,False,True,True,True,missing
335.0,Low,0,6,1,1,1,False,False,12,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1549.0,High,1,9,3,1,2,missing,False,35,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
742.0,Low,0,26,1,5,1,missing,False,24,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
2849.0,High,1,3,1,78,8,missing,False,42,False,False,False,False,1,0,True,True,False,True,False,False,False,True,False,True,True,False,missing
